code_commune_insee;nom_de_la_commune;code_postal;ligne_5;libelle_d_acheminement;coordonnees_gps
35308;MESNIL ROC H;35720;TRESSE;MESNIL ROC H;48.45801406,-1.8778413999999999
07132;LARGENTIERE;07110;;LARGENTIERE;44.533435177,4.301173733
34246;ENTRE VIGNES;34400;VERARGUES;ENTRE VIGNES;43.718708605,4.079173734
11080;VAL DE LAMBRONNE;11230;CAUDEVAL;VAL DE LAMBRONNE;43.075550149,1.987717402
54068;BEUVEZIN;54115;;BEUVEZIN;48.378484904,5.972527555
35315;ST SULPICE LA FORET;35250;;ST SULPICE LA FORET;48.212407534,-1.5758734620000001
07150;MARIAC;07160;;MARIAC;44.885755486,4.353058652
34249;ST DREZERY;34160;;ST DREZERY;43.728860555,3.9779214510000003
11089;CENNE MONESTIES;11170;;CENNE MONESTIES;43.324780519,2.129227146
54069;BEUVILLERS;54560;;BEUVILLERS;49.387092584,5.91928307
35316;ST SULPICE DES LANDES;35390;;ST SULPICE DES LANDES;47.776961884,-1.625721618
07155;MERCUER;07200;;MERCUER;44.626281637,4.350065625
34250;ST ETIENNE D ALBAGNAN;34390;;ST ETIENNE D ALBAGNAN;43.528697729,2.8656096790000003
11105;COURNANEL;11300;;COURNANEL;43.030088546,2.235734186
54073;BICQUELEY;54200;;BICQUELEY;48.623549423,5.925258604
35320;ST UNIAC;35360;;ST UNIAC;48.166999305,-2.032799831
07163;MONTSELGUES;07140;;MONTSELGUES;44.533398573,4.003739641
34252;ST ETIENNE ESTRECHOUX;34260;;ST ETIENNE ESTRECHOUX;43.660423282,3.104261339
11120;LA DIGNE D AVAL;11300;;LA DIGNE D AVAL;43.046378946,2.179156685
54079;BLENOD LES PONT A MOUSSON;54700;;BLENOD LES PONT A MOUSSON;48.875162015,6.062784517
35326;SENS DE BRETAGNE;35490;;SENS DE BRETAGNE;48.336389627,-1.554034633
07171;PAYZAC;07230;;PAYZAC;44.455172602,4.149312183
34258;ST GENIES DE FONTEDIT;34480;;ST GENIES DE FONTEDIT;43.468846887,3.174801286
11121;DONAZAC;11240;;DONAZAC;43.079141984,2.1214182
54080;BLENOD LES TOUL;54113;;BLENOD LES TOUL;48.596973086,5.827008955
35335;THOURIE;35134;;THOURIE;47.848548707,-1.458039729
07178;PONT DE LABEAUME;07380;;PONT DE LABEAUME;44.665829049,4.2974735840000005
34265;ST JEAN DE CORNIES;34160;;ST JEAN DE CORNIES;43.744971698,4.003437737
11128;ESCUEILLENS ET ST JUST DE BELENGARD;11240;ST JUST DE BELENGARD;ESCUEILLENS ET ST JUST;43.100302222,2.021496856
54081;BOISMONT;54620;;BOISMONT;49.411189279,5.739982437
35346;TRIMER;35190;;TRIMER;48.344757088,-1.897228289
07186;PRIVAS;07000;;PRIVAS;44.722434276,4.594124449
34267;ST JEAN DE FOS;34150;;ST JEAN DE FOS;43.694085945,3.546427321
11135;LA FAJOLLE;11140;;LA FAJOLLE;42.753022554,1.9651826360000002
54085;BORVILLE;54290;;BORVILLE;48.447370614,6.39714306
36001;AIGURANDE;36140;;AIGURANDE;46.455768476,1.840010436
07190;ROCHECOLOMBE;07200;;ROCHECOLOMBE;44.51877278,4.448619349
